,precision,recall,f1-score,support
0,1.0,1.0,1.0,329.0
1,1.0,1.0,1.0,335.0
2,1.0,1.0,1.0,320.0
3,1.0,1.0,1.0,336.0
4,1.0,1.0,1.0,340.0
5,1.0,1.0,1.0,345.0
6,1.0,1.0,1.0,376.0
7,1.0,1.0,1.0,344.0
8,0.9970501474926253,1.0,0.9985228951255539,338.0
9,1.0,0.9970326409495549,0.9985141158989599,337.0
accuracy,0.9997058823529412,0.9997058823529412,0.9997058823529412,0.9997058823529412
macro avg,0.9997050147492625,0.9997032640949556,0.9997037011024513,3400.0
weighted avg,0.9997067499566198,0.9997058823529412,0.9997058810618784,3400.0
